run_id,seq,kind,attack_class,scenario,teleport_user,db_role,source_ip,sim_start,sim_end,sim_day,sim_hour,statements,executed,denied_by_postgres,teleport_sid,change_ticket,note
770b7801,0,benign,B0,dba routine,carol.tan@eproc.test,dba,10.20.9.5,2026-08-03T08:49:00Z,2026-08-03T08:50:30Z,1,8,10,10,0,,,
770b7801,1,benign,B0,dba routine,carol.tan@eproc.test,dba,10.20.9.5,2026-08-03T08:59:00Z,2026-08-03T09:00:39Z,1,8,10,10,0,,,
770b7801,2,benign,B0,proc_officer routine,dave.wijaya@eproc.test,proc_officer,10.20.3.21,2026-08-03T09:16:00Z,2026-08-03T09:19:29Z,1,9,20,20,0,,,
770b7801,3,benign,B0,analyst_ro routine,priya.suryani@eproc.test,analyst_ro,10.20.4.62,2026-08-03T09:20:00Z,2026-08-03T09:40:20Z,1,9,62,62,0,,,
770b7801,4,benign,B0,app_service routine,svc.app@eproc.test,app_service,10.20.1.10,2026-08-03T09:22:00Z,2026-08-03T10:11:04Z,1,9,185,185,0,,,
770b7801,5,benign,B0,analyst_ro routine,rina.hartono@eproc.test,analyst_ro,10.20.4.61,2026-08-03T09:55:00Z,2026-08-03T10:01:56Z,1,9,53,53,0,,,
770b7801,6,benign,B0,proc_officer routine,nina.lestari@eproc.test,proc_officer,10.20.3.22,2026-08-03T10:04:00Z,2026-08-03T10:08:54Z,1,10,43,43,0,,,
770b7801,7,benign,B0,analyst_ro routine,rina.hartono@eproc.test,analyst_ro,10.20.4.61,2026-08-03T10:45:00Z,2026-08-03T10:53:50Z,1,10,54,54,0,,,
770b7801,8,benign,B0,app_service routine,svc.app@eproc.test,app_service,10.20.1.10,2026-08-03T10:47:00Z,2026-08-03T11:26:25Z,1,10,216,216,0,,,
770b7801,9,benign,B0,proc_officer routine,nina.lestari@eproc.test,proc_officer,10.20.3.22,2026-08-03T10:58:00Z,2026-08-03T11:03:10Z,1,10,32,32,0,,,
770b7801,10,benign,B0,analyst_ro routine,priya.suryani@eproc.test,analyst_ro,10.20.4.62,2026-08-03T11:02:00Z,2026-08-03T11:09:36Z,1,11,58,58,0,,,
770b7801,11,benign,B0,app_service routine,svc.app@eproc.test,app_service,10.20.1.10,2026-08-03T11:10:00Z,2026-08-03T11:20:51Z,1,11,218,218,0,,,
770b7801,12,benign,B0,analyst_ro routine,rina.hartono@eproc.test,analyst_ro,10.20.4.61,2026-08-03T11:14:00Z,2026-08-03T11:29:12Z,1,11,49,49,0,,,
770b7801,13,benign,B0,analyst_ro routine,priya.suryani@eproc.test,analyst_ro,10.20.4.62,2026-08-03T11:29:00Z,2026-08-03T11:35:27Z,1,11,44,44,0,,,
770b7801,14,benign,B0,proc_officer routine,dave.wijaya@eproc.test,proc_officer,10.20.3.21,2026-08-03T11:37:00Z,2026-08-03T11:49:28Z,1,11,35,35,0,,,
770b7801,15,benign,B0,proc_officer routine,nina.lestari@eproc.test,proc_officer,10.20.3.22,2026-08-03T11:38:00Z,2026-08-03T11:54:06Z,1,11,47,47,0,,,
770b7801,16,benign,B0,app_service routine,svc.app@eproc.test,app_service,10.20.1.10,2026-08-03T12:05:00Z,2026-08-03T13:57:00Z,1,12,281,281,0,,,
770b7801,17,benign,B0,proc_officer routine,nina.lestari@eproc.test,proc_officer,10.20.3.22,2026-08-03T12:06:00Z,2026-08-03T12:06:36Z,1,12,13,13,0,,,
770b7801,18,benign,B0,analyst_ro routine,priya.suryani@eproc.test,analyst_ro,10.20.4.62,2026-08-03T12:14:00Z,2026-08-03T12:24:40Z,1,12,41,41,0,,,
770b7801,19,benign,B0,analyst_ro routine,rina.hartono@eproc.test,analyst_ro,10.20.4.61,2026-08-03T12:15:00Z,2026-08-03T12:33:47Z,1,12,50,50,0,,,
770b7801,20,benign,B0,analyst_ro routine,priya.suryani@eproc.test,analyst_ro,10.20.4.62,2026-08-03T12:25:00Z,2026-08-03T12:41:48Z,1,12,43,43,0,,,
770b7801,21,benign,B0,analyst_ro routine,rina.hartono@eproc.test,analyst_ro,10.20.4.61,2026-08-03T12:40:00Z,2026-08-03T12:43:24Z,1,12,52,52,0,,,
770b7801,22,benign,B0,app_service routine,svc.app@eproc.test,app_service,10.20.1.10,2026-08-03T13:09:00Z,2026-08-03T13:59:08Z,1,13,189,189,0,,,
770b7801,23,benign,B0,analyst_ro routine,priya.suryani@eproc.test,analyst_ro,10.20.4.62,2026-08-03T13:09:00Z,2026-08-03T13:11:39Z,1,13,54,54,0,,,
770b7801,24,benign,B0,analyst_ro routine,rina.hartono@eproc.test,analyst_ro,10.20.4.61,2026-08-03T13:28:00Z,2026-08-03T13:38:02Z,1,13,44,44,0,,,
770b7801,25,benign,B0,app_service routine,svc.app@eproc.test,app_service,10.20.1.10,2026-08-03T13:44:00Z,2026-08-03T14:13:00Z,1,13,175,175,0,,,
770b7801,26,benign,B0,analyst_ro routine,rina.hartono@eproc.test,analyst_ro,10.20.4.61,2026-08-03T13:56:00Z,2026-08-03T14:06:46Z,1,13,39,39,0,,,
770b7801,27,benign,B0,app_service routine,svc.app@eproc.test,app_service,10.20.1.10,2026-08-03T13:57:00Z,2026-08-03T15:39:36Z,1,13,325,325,0,,,
770b7801,28,benign,B0,proc_officer routine,nina.lestari@eproc.test,proc_officer,10.20.3.22,2026-08-03T14:13:00Z,2026-08-03T14:24:00Z,1,14,45,45,0,,,
770b7801,29,benign,B0,app_service routine,svc.app@eproc.test,app_service,10.20.1.10,2026-08-03T14:18:00Z,2026-08-03T14:41:24Z,1,14,118,118,0,,,
770b7801,30,benign,B0,analyst_ro routine,rina.hartono@eproc.test,analyst_ro,10.20.4.61,2026-08-03T14:20:00Z,2026-08-03T14:32:36Z,1,14,37,37,0,,,
770b7801,31,benign,B0,proc_officer routine,dave.wijaya@eproc.test,proc_officer,10.20.3.21,2026-08-03T14:39:00Z,2026-08-03T14:46:00Z,1,14,29,29,0,,,
770b7801,32,benign,B0,analyst_ro routine,priya.suryani@eproc.test,analyst_ro,10.20.4.62,2026-08-03T14:40:00Z,2026-08-03T14:52:54Z,1,14,44,44,0,,,
770b7801,33,benign,B0,proc_officer routine,nina.lestari@eproc.test,proc_officer,10.20.3.22,2026-08-03T14:40:00Z,2026-08-03T14:48:24Z,1,14,25,25,0,,,
770b7801,34,benign,B0,analyst_ro routine,rina.hartono@eproc.test,analyst_ro,10.20.4.61,2026-08-03T14:42:00Z,2026-08-03T14:51:30Z,1,14,39,39,0,,,
770b7801,35,benign,B0,app_service routine,svc.app@eproc.test,app_service,10.20.1.10,2026-08-03T14:50:00Z,2026-08-03T16:52:20Z,1,14,368,368,0,,,
770b7801,36,benign,B0,app_service routine,svc.app@eproc.test,app_service,10.20.1.10,2026-08-03T14:57:00Z,2026-08-03T15:09:48Z,1,14,257,257,0,,,
770b7801,37,benign,B0,proc_officer routine,dave.wijaya@eproc.test,proc_officer,10.20.3.21,2026-08-03T15:08:00Z,2026-08-03T15:17:06Z,1,15,27,27,0,,,
770b7801,38,benign,B0,analyst_ro routine,priya.suryani@eproc.test,analyst_ro,10.20.4.62,2026-08-03T15:14:00Z,2026-08-03T15:24:16Z,1,15,29,29,0,,,
770b7801,39,benign,B0,proc_officer routine,dave.wijaya@eproc.test,proc_officer,10.20.3.21,2026-08-03T15:24:00Z,2026-08-03T15:25:20Z,1,15,21,21,0,,,
770b7801,40,benign,B0,dba routine,carol.tan@eproc.test,dba,10.20.9.5,2026-08-03T15:27:00Z,2026-08-03T15:28:17Z,1,15,8,8,0,,,
770b7801,41,benign,B0,analyst_ro routine,priya.suryani@eproc.test,analyst_ro,10.20.4.62,2026-08-03T15:47:00Z,2026-08-03T15:48:27Z,1,15,30,30,0,,,
770b7801,42,benign,B0,proc_officer routine,nina.lestari@eproc.test,proc_officer,10.20.3.22,2026-08-03T15:48:00Z,2026-08-03T15:50:56Z,1,15,23,23,0,,,
770b7801,43,benign,B0,proc_officer routine,nina.lestari@eproc.test,proc_officer,10.20.3.22,2026-08-03T15:49:00Z,2026-08-03T15:50:36Z,1,15,33,33,0,,,
770b7801,44,benign,B0,app_service routine,svc.app@eproc.test,app_service,10.20.1.10,2026-08-03T15:51:00Z,2026-08-03T16:53:29Z,1,15,164,164,0,,,
770b7801,45,benign,B0,dba routine,carol.tan@eproc.test,dba,10.20.9.5,2026-08-03T15:55:00Z,2026-08-03T15:57:06Z,1,15,10,10,0,,,
770b7801,46,benign,B0,proc_officer routine,dave.wijaya@eproc.test,proc_officer,10.20.3.21,2026-08-03T16:06:00Z,2026-08-03T16:14:33Z,1,16,28,28,0,,,
770b7801,47,benign,B0,analyst_ro routine,rina.hartono@eproc.test,analyst_ro,10.20.4.61,2026-08-03T16:07:00Z,2026-08-03T16:14:00Z,1,16,43,43,0,,,
770b7801,48,benign,B0,proc_officer routine,nina.lestari@eproc.test,proc_officer,10.20.3.22,2026-08-03T16:11:00Z,2026-08-03T16:12:52Z,1,16,29,29,0,,,
770b7801,49,benign,B0,proc_officer routine,nina.lestari@eproc.test,proc_officer,10.20.3.22,2026-08-03T16:12:00Z,2026-08-03T16:24:16Z,1,16,33,33,0,,,
